iteration,field,previous_value,current_value
10,analog.deltaAbs.max,0.55,0.5
10,analog.deltaAbs.min,0.05,0.1
10,cbStatus,1,2
10,fault.durationMs.max,900,800
10,fault.durationMs.min,20,30
10,fault.prob,0.35,0.4
10,sqnumMode,medium,high
10,trapArea.multiplier.max,1.55,1.5
10,trapArea.multiplier.min,1.03,1.05
10,trapArea.spikeProb,0.25,0.3
10,ttlMsValues,30,40
11,analog.deltaAbs.max,0.5,0.6
11,analog.deltaAbs.min,0.1,0.05
11,fault.durationMs.max,800,1000
11,fault.durationMs.min,30,20
11,fault.prob,0.4,0.35
11,trapArea.multiplier.max,1.5,1.6
11,trapArea.multiplier.min,1.05,1.02
11,trapArea.spikeProb,0.3,0.25
12,analog.deltaAbs.max,0.6,0.55
12,analog.deltaAbs.min,0.05,0.03
12,fault.durationMs.max,1000,1200
12,fault.durationMs.min,20,15
12,fault.prob,0.35,0.4
12,trapArea.multiplier.max,1.6,1.7
12,trapArea.multiplier.min,1.02,1.01
12,trapArea.spikeProb,0.25,0.3
13,analog.deltaAbs.max,0.55,0.45
13,fault.durationMs.max,1200,1000
13,fault.durationMs.min,15,20
13,fault.prob,0.4,0.35
13,trapArea.multiplier.max,1.7,1.6
13,trapArea.multiplier.min,1.01,1.02
13,trapArea.spikeProb,0.3,0.25
14,analog.deltaAbs.max,0.45,0.4
14,analog.deltaAbs.min,0.03,0.02
14,fault.durationMs.max,1000,900
14,fault.durationMs.min,20,30
14,fault.prob,0.35,0.4
14,trapArea.multiplier.max,1.6,1.55
14,trapArea.multiplier.min,1.02,1.05
14,trapArea.spikeProb,0.25,0.28
15,analog.deltaAbs.max,0.4,0.45
15,analog.deltaAbs.min,0.02,0.015
15,fault.prob,0.4,0.35
15,trapArea.multiplier.max,1.55,1.6
15,trapArea.multiplier.min,1.05,1.1
15,trapArea.spikeProb,0.28,0.25
16,analog.deltaAbs.max,0.45,0.5
16,analog.deltaAbs.min,0.015,0.02
16,cbStatus,2,3
16,fault.durationMs.max,900,800
16,fault.durationMs.min,30,45
16,fault.prob,0.35,0.4
16,sqnumMode,high,medium
16,trapArea.multiplier.max,1.6,1.5
16,trapArea.spikeProb,0.25,0.3
16,ttlMsValues,40,45
17,analog.deltaAbs.max,0.5,0.6
17,analog.deltaAbs.min,0.02,0.01
17,fault.durationMs.max,800,900
17,fault.durationMs.min,45,30
17,fault.prob,0.4,0.35
17,trapArea.multiplier.max,1.5,1.7
17,trapArea.multiplier.min,1.1,1.2
17,trapArea.spikeProb,0.3,0.25
18,analog.deltaAbs.max,0.6,0.55
18,fault.prob,0.35,0.3
18,trapArea.multiplier.min,1.2,1.25
18,trapArea.spikeProb,0.25,0.28
19,analog.deltaAbs.max,0.55,0.45
19,analog.deltaAbs.min,0.01,0.05
19,cbStatus,3,4
19,fault.prob,0.3,0.35
19,sqnumMode,medium,high
19,trapArea.multiplier.max,1.7,1.6
19,trapArea.multiplier.min,1.25,1.3
19,trapArea.spikeProb,0.28,0.32
19,ttlMsValues,45,50
20,analog.deltaAbs.max,0.45,0.5
20,analog.deltaAbs.min,0.05,0.1
20,cbStatus,4,5
20,fault.durationMs.max,900,800
20,fault.durationMs.min,30,45
20,fault.prob,0.35,0.4
20,sqnumMode,high,medium
20,trapArea.multiplier.max,1.6,1.5
20,trapArea.spikeProb,0.32,0.3
20,ttlMsValues,50,60
21,analog.deltaAbs.max,0.5,0.6
21,analog.deltaAbs.min,0.1,0.05
21,fault.durationMs.max,800,900
21,fault.durationMs.min,45,30
21,fault.prob,0.4,0.35
21,trapArea.multiplier.max,1.5,1.6
21,trapArea.multiplier.min,1.3,1.2
21,trapArea.spikeProb,0.3,0.25
22,analog.deltaAbs.max,0.6,0.5
22,analog.deltaAbs.min,0.05,0.1
22,cbStatus,5,4
22,fault.durationMs.max,900,800
22,fault.durationMs.min,30,45
22,fault.prob,0.35,0.4
22,sqnumMode,medium,low
22,trapArea.multiplier.max,1.6,1.5
22,trapArea.spikeProb,0.25,0.3
22,ttlMsValues,60,90
23,analog.deltaAbs.max,0.5,0.4
23,analog.deltaAbs.min,0.1,0.15
23,fault.durationMs.max,800,700
23,fault.durationMs.min,45,50
23,fault.prob,0.4,0.35
23,trapArea.multiplier.max,1.5,1.4
23,trapArea.multiplier.min,1.2,1.1
23,trapArea.spikeProb,0.3,0.25
24,analog.deltaAbs.max,0.4,0.45
24,analog.deltaAbs.min,0.15,0.1
24,fault.durationMs.max,700,600
24,fault.durationMs.min,50,70
24,fault.prob,0.35,0.4
24,trapArea.multiplier.max,1.4,1.35
24,trapArea.multiplier.min,1.1,1.05
24,trapArea.spikeProb,0.25,0.3
24,ttlMsValues,90,100
25,analog.deltaAbs.max,0.45,0.5
25,analog.deltaAbs.min,0.1,0.15
25,cbStatus,4,5
25,fault.prob,0.4,0.35
25,sqnumMode,low,medium
25,trapArea.multiplier.max,1.35,1.4
25,trapArea.multiplier.min,1.05,1.1
25,trapArea.spikeProb,0.3,0.25
25,ttlMsValues,100,120
26,analog.deltaAbs.max,0.5,0.6
26,analog.deltaAbs.min,0.15,0.1
26,fault.durationMs.max,600,800
26,fault.durationMs.min,70,50
26,fault.prob,0.35,0.4
26,trapArea.multiplier.max,1.4,1.45
26,trapArea.multiplier.min,1.1,1.05
26,trapArea.spikeProb,0.25,0.3
27,analog.deltaAbs.max,0.6,0.4
27,analog.deltaAbs.min,0.1,0.05
27,fault.durationMs.max,800,1000
27,fault.durationMs.min,50,30
27,fault.prob,0.4,0.35
27,trapArea.multiplier.max,1.45,1.3
27,trapArea.multiplier.min,1.05,1.01
27,trapArea.spikeProb,0.3,0.25
28,analog.deltaAbs.max,0.4,0.45
28,analog.deltaAbs.min,0.05,0.1
28,cbStatus,5,6
28,fault.durationMs.min,30,50
28,fault.prob,0.35,0.4
28,sqnumMode,medium,high
28,trapArea.multiplier.max,1.3,1.4
28,trapArea.multiplier.min,1.01,1.05
28,trapArea.spikeProb,0.25,0.3
28,ttlMsValues,120,150
29,analog.deltaAbs.max,0.45,0.4
29,analog.deltaAbs.min,0.1,0.05
29,cbStatus,6,5
29,fault.prob,0.4,0.35
29,sqnumMode,high,medium
29,trapArea.multiplier.max,1.4,1.3
29,trapArea.multiplier.min,1.05,1.1
29,trapArea.spikeProb,0.3,0.25
29,ttlMsValues,150,120
30,analog.deltaAbs.max,0.4,0.5
30,analog.deltaAbs.min,0.05,0.1
30,cbStatus,5,4
30,fault.prob,0.35,0.4
30,sqnumMode,medium,high
30,trapArea.multiplier.max,1.3,1.4
30,trapArea.multiplier.min,1.1,1.2
30,trapArea.spikeProb,0.25,0.3
30,ttlMsValues,120,150
